Date,logReturnGLD
2012-01-04,0.004319926934233001
2012-01-05,-0.0003860875357903997
2012-01-06,0.020512893365573458
2012-01-09,-0.0077860498525789985
2012-01-10,0.010179331027616615
2012-01-11,0.0023247473853921087
2012-01-12,0.010488346864801615
2012-01-13,-0.01061380346329526
2012-01-17,0.011544893875195665
2012-01-18,-0.007660938716936345
2012-01-19,0.006357172992006139
2012-01-20,-0.0028619878303685732
2012-01-23,0.01127579607217992
2012-01-24,-0.0031469435907091827
2012-01-25,-0.0045836984895887955
2012-01-26,0.04242247546099205
2012-01-27,-0.003636481940623047
2012-01-30,0.004469214548333397
2012-01-31,0.009350298753175862
2012-02-01,-0.0001178369450251861
2012-02-02,0.0012363899939660508
2012-02-03,-0.00047082155516089453
2012-02-06,-0.017338030182456197
2012-02-07,0.002512401781720441
2012-02-08,0.011169258224732605
2012-02-09,0.004421264737995167
2012-02-10,-0.020921951851008355
2012-02-13,0.005032644870317417
2012-02-14,0.0019105146644795609
2012-02-15,0.005828558209416517
2012-02-16,-0.013733216506074966
2012-02-17,0.01171486130338241
2012-02-21,0.008048815733191663
2012-02-22,0.004411123320640488
2012-02-23,0.013349511994077865
2012-02-24,-0.00034748638588838184
2012-02-27,-0.00284251138003342
2012-02-28,0.0040581945088377725
2012-02-29,0.0020229813680215755
2012-03-01,-0.041799216546896514
2012-03-02,0.000782294742256308
2012-03-05,-0.0027710379177297733
2012-03-06,-0.022079513816041733
2012-03-07,0.003754896662859061
2012-03-08,0.012091811450548029
2012-03-09,-0.006699616913735643
2012-03-12,0.010274601710049272
2012-03-13,-0.008442969235802069
2012-03-14,-0.026767173464731026
2012-03-15,0.0007515187998673872
2012-03-16,0.002188838009624954
2012-03-19,0.004798588217637632
2012-03-20,-0.004049275079201796
2012-03-21,0.002680598789443109
2012-03-22,-0.015243578326894306
2012-03-23,0.016798740173245525
2012-03-26,0.014133813302362509
2012-03-27,0.008239577829552551
2012-03-28,-0.011062649502823395
2012-03-29,-0.0096959720292871
2012-03-30,0.003283662099369933
2012-04-02,0.0017922261418718496
2012-04-03,0.0078107902761363375
2012-04-04,-0.0344657497151139
2012-04-05,0.0010774029264760169
2012-04-09,0.011650410583970929
2012-04-10,-0.00037570918508651166
2012-04-11,0.0095992321912152
2012-04-12,-0.0028576275713998447
2012-04-13,0.010582059757182537
2012-04-16,-0.012014028873469666
2012-04-17,0.00018687432617041824
2012-04-18,-0.006561833415999157
2012-04-19,0.0031925595492367557
2012-04-20,-0.00469852078155415
2012-04-23,-0.006615258082056962
2012-04-24,0.008998632228604555
2012-04-25,-0.0009401711671813359
2012-04-26,0.006126236518449357
2012-04-27,0.008192647458484355
2012-04-30,-0.00800571492091939
2012-05-01,0.009920045358782137
2012-05-02,-0.008363527955729503
2012-05-03,-0.009878173200035669
2012-05-04,-0.0021384811485528387
2012-05-07,0.00308044748854628
2012-05-08,-0.01709333216703284
2012-05-09,-0.016156863601805543
2012-05-10,0.0068550870897809675
2012-05-11,-0.011147244182067568
2012-05-14,-0.012196072591302938
2012-05-15,-0.0027746466349209227
2012-05-16,-0.011176327085464908
2012-05-17,0.008990810182272341
2012-05-18,0.023781820420171
2012-05-21,-0.002268568824135569
2012-05-22,-0.003379951251983578
2012-05-23,-0.01370106343475036
2012-05-24,0.007955118854182923
2012-05-25,-0.005384175737391213
2012-05-29,0.010348546636719427
2012-05-30,-0.02460462450918492
2012-05-31,0.015177373021345553
2012-06-01,0.021988948450794337
2012-06-04,0.011833643102999107
2012-06-05,-0.0021643461728852727
2012-06-06,0.012538927187068607
2012-06-07,-0.006819848335856664
2012-06-08,-0.030886529503136407
2012-06-11,0.011759095802059343
2012-06-12,0.004253699279994461
2012-06-13,0.013542180506091793
2012-06-14,0.00019031245101042865
2012-06-15,0.0006975554380872826
2012-06-18,-0.0018399992092674798
2012-06-19,0.003423530814911752
2012-06-20,-0.012739025777429714
2012-06-21,-0.014658216344674197
2012-06-22,-0.011054192824331736
2012-06-25,0.003545463689429896
2012-06-26,0.002944912298317409
2012-06-27,0.0017628313789613422
2012-06-28,-0.009174435345184428
2012-06-29,0.02104113720521581
2012-07-02,-0.002969705187978859
2012-07-03,0.014760908538467015
2012-07-05,-0.009794892721874086
2012-07-06,-0.007814849135654344
2012-07-09,-0.0040280395291840895
2012-07-10,0.009846578036224341
2012-07-11,-0.016574445537310356
2012-07-12,-0.00868888439774385
2012-07-13,0.014374584143185657
2012-07-16,0.0063661123915253436
2012-07-17,-0.0027233710019789604
2012-07-18,-0.008738786736249095
2012-07-19,0.006919074736162754
2012-07-20,-0.004955960632459325
2012-07-23,-0.003077234224937237
2012-07-24,0.007382550640828602
2012-07-25,0.011004752187333669
2012-07-26,0.008781231341483469
2012-07-27,0.005980815766123107
2012-07-30,-0.005087794062802847
2012-07-31,0.004834063574411558
2012-08-01,-0.015474527137947728
2012-08-02,-0.003356503312823417
2012-08-03,-6.472471027922644e-05
2012-08-06,0.0081785820384209
2012-08-07,0.002881919507761068
2012-08-08,0.0007671802460279867
2012-08-09,-0.0008310948057517704
2012-08-10,0.0034475741778167523
2012-08-13,0.0009556235887838363
2012-08-14,-0.012752119194272176
2012-08-15,0.0016754240391318347
2012-08-16,0.003406494780189952
2012-08-17,0.00773384050083988
2012-08-20,-0.0034440623146905908
2012-08-21,0.014524683630838909
2012-08-22,0.0023899634017579344
2012-08-23,0.013849266636152515
2012-08-24,0.0028457764900835262
2012-08-27,-0.0006179149888177318
2012-08-28,-0.000865794711497769
2012-08-29,-0.00018562014086089784
